bodyweight_kg,bench_kg
59.6,47.63
58.51,142.88
58.51,142.88
58.51,
63.68,
62.41,170.1
67.31,124.74
67.31,124.74
65.95,120.2
65.95,
65.5,138.35
71.21,120.2
71.21,120.2
70.58,102.06
69.31,81.65
80.56,229.06
77.93,142.88
77.93,86.18
88.72,102.06
83.1,86.18
88.36,174.63
83.64,
94.8,74.84
71.94,154.22
70.67,163.29
74.93,
74.93,
71.3,181.44
79.65,161.03
80.1,190.51
76.66,165.56
79.11,254.01
81.47,258.55
81.92,233.6
81.92,233.6
86.55,206.38
88.54,215.46
88.9,233.6
88.99,
88.99,
89.81,351.53
89.9,226.8
89.81,158.76
88.09,
88.72,
96.43,244.94
99.7,188.24
95.44,242.67
93.17,210.92
99.79,263.08
99.25,226.8
96.16,
98.34,
107.5,455.86
109.41,
109.41,
101.79,170.1
105.96,
105.96,
108.68,
120.66,215.46
120.75,188.24
118.66,362.87
118.66,362.87
119.84,249.48
122.56,319.78
122.56,319.78
124.19,
124.19,
118.84,
116.21,
120.84,
123.56,
128.82,317.51
139.43,276.69
131.18,
131.18,
173.91,353.8
146.24,231.33
48.99,75
50.8,
50.8,
65.09,
71.3,127.5
71.67,127.5
73.26,102.5
71.21,
82.1,140
55.88,
59.51,
66.45,137.5
74.62,185
73.3,
73.12,
79.83,165
80.29,
78.24,
89.9,260
89.9,260
88.09,200
89.58,167.5
89.9,160
89.36,232.5
86.41,210
85.73,
85.73,
88.81,165
88.81,
99.79,187.5
98.88,227.5
97.52,205
95.03,132.5
97.16,240
99.56,277.5
97.98,170
99.34,222.5
99.34,
93.44,
106.82,212.5
106.59,182.5
106.82,212.5
105.23,125
102.33,260
107.5,192.5
107.41,227.5
102.29,207.5
111.36,230
122.56,237.5
113.17,132.5
113.85,
116.12,
116.12,
121.56,
134.35,250
126.55,
126.55,
126.55,
160.03,
160.03,
66.63,
66.09,
81.65,
72.94,
85.5,68.04
51.66,90.72
83.78,117.93
58.74,83.91
67.31,120.2
67.31,120.2
81.92,115.67
56.97,136.08
72.94,120.2
58.97,136.08
58.97,136.08
58.06,90.72
65.41,163.29
87.54,161.03
71.3,124.74
73.75,149.69
81.65,165.56
70.99,156.49
74.75,161.03
79.92,181.44
66.09,165.56
66.09,
81.6,176.9
82.05,215.46
81.47,249.48
80.06,251.74
66.63,
67.13,
81.65,
72.94,
99.79,158.76
87.27,156.49
86.95,
89.18,
95.66,226.8
89.81,
88.9,181.44
95.66,240.4
95.66,240.4
99.79,285.76
89.58,274.42
93.39,210.92
93.39,210.92
133.63,222.26
132.18,
99.02,285.76
89.49,317.51
139.03,
139.03,
120.56,183.7
107.73,183.7
109.09,226.8
104.6,215.46
133.36,254.01
131.13,
172.37,319.78
123.56,285.76
109.72,331.12
114.26,226.8
124.1,306.17
123.47,319.78
123.47,319.78
122.65,340.19
109.13,238.14
109.13,
119.75,
108.14,415.04
163.29,340.19
107.91,
88.27,
109.27,
95.66,
139.03,
122.33,
122.33,
88.27,
95.66,
109.27,
139.03,
139.03,
86.95,
119.75,
109.13,
89.18,
89.81,
131.13,
132.18,
139.03,
81.65,
81.65,
57.7,
57.7,
57.79,
57.79,
67.4,
67.4,
99.7,
80.2,
79.92,
81.37,
81.37,
66.77,
66.77,
94.44,
94.44,
88.27,
82.1,
109.04,
105.96,
92.26,
92.26,
123.2,
51.17,97.52
55.25,120.2
56.7,129.27
74.84,88.45
73.48,124.74
74.03,124.74
55.25,120.2
74.84,88.45
83.46,106.59
55.25,120.2
74.93,151.95
63.59,
88.27,201.85
104.87,317.51
79.65,154.22
94.8,226.8
130.63,199.58
79.65,154.22
68.67,192.78
74.03,165.56
81.83,231.33
109.77,281.23
115.3,297.1
140.16,258.55
106.78,206.38
99.43,185.97
81.83,231.33
94.8,226.8
108.5,215.46
106.78,206.38
116.85,249.48
89.9,
101.97,
87.54,
99.52,
94.26,
101.97,
72.85,
94.26,
112.94,
138.53,
98.61,
107.68,
72.85,
106.5,
107.68,
118.75,
50.47,92.5
57.7,120
59.96,125
59.83,150
59.83,150
64.5,110
64.14,97.5
67.4,135
63.64,160
65.41,117.5
67.4,135
73.26,122.5
74.84,117.5
71.26,117.5
73.26,122.5
72.35,112.5
74.84,117.5
73.8,167.5
73.94,157.5
74.84,110
81.78,102.5
81.78,
88.09,90
86.95,92.5
87.63,195
88.09,
84.64,80
108.86,
108.86,
108.86,
55.57,172.5
64.18,120
63.59,117.5
71.71,182.5
67.72,170
71.99,172.5
73.8,162.5
74.16,147.5
74.07,130
73.94,167.5
70.4,
74.84,157.5
74.84,
79.56,132.5
79.51,220
81.87,285
82.19,260
78.93,192.5
81.74,318
82.1,
88.5,252.5
87.86,192.5
88.27,250
88.22,207.5
88,185
87.54,182.5
86.55,215
88.27,250
88.22,207.5
87.54,182.5
87.82,227.5
85.55,185
86.55,215
88.36,222.5
84.37,147.5
88.9,
85.73,
89.31,
87.95,
89.81,
89.81,
85.73,
89.81,
98.61,185
97.75,245
96.62,250
99.52,277.5
97.3,240
97.93,272.5
99.56,295
99.56,232.5
97.3,240
99.56,155
99.56,155
99.52,205
98.61,
99.52,
98.07,
98.88,
98.79,
98.79,
98.88,
99.52,
96.21,
99.06,
99.43,
104.69,185
108.64,167.5
109.59,240
103.19,230
109.32,245
108,355
104.19,325
108.77,242.5
109.5,277.5
107.64,457.5
106.96,187.5
108.41,227.5
106.55,
106.46,
122.02,232.5
121.02,190
117.25,225
113.44,307.5
124.74,282.5
123.24,227.5
121.38,352.5
122.47,377.5
124.33,350
117.34,417.5
122.97,192.5
115.03,250
124.33,350
117.71,
136.08,375
138.35,227.5
145.15,230
154.18,432.5
140.61,
55.7,
59.69,127.01
59.6,102.06
67.13,102.06
67.22,183.7
62.28,108.86
67.13,102.06
74.03,124.74
76.7,131.54
85.59,122.47
108.86,154.22
65.41,145.15
74.75,154.22
74.93,
81.19,167.83
81.74,224.53
82.1,192.78
81.78,183.7
83.01,192.78
83.01,190.51
87.45,
89.81,
89.63,
97.79,229.06
98.93,195.04
99.47,244.94
95.62,188.24
107.95,172.37
109.77,233.6
109.04,272.16
106.78,244.94
109.18,335.66
109.04,272.16
107.27,317.51
117.03,251.74
113.99,374.21
124.51,362.87
115.71,328.85
119.34,369.68
121.7,303.91
141.11,
55.79,80
56.88,100
65.77,112.5
66.22,87.5
62.69,
73.3,110
73.3,110
82.37,60
75.39,112.5
85.09,110
89.36,92.5
109.95,
109.95,
109.95,
54.61,
74.12,202.5
74.21,182.5
72.67,175
81.19,165
81.19,210
80.47,195
82.1,182.5
89.9,220
89.63,235
81.19,210
88.72,215
85.91,212.39
89.54,205
87.54,167.5
88.54,140
86.18,
98.61,215
99.43,262.5
93.62,227.5
98.7,250
97.89,195
98.25,242.5
96.07,242.5
98.7,250
93.62,227.5
99.25,
98.52,
108.59,190
106.14,245
102.78,
106.78,260
102.78,185
101.6,247.5
107.68,305
107.14,267.5
108.59,307.49
107.77,
103.87,
106.14,
121.65,
115.85,
112.04,
112.04,
132.72,417.5
136.17,
133.72,
148.51,307.49
141.7,
144.24,
62.69,117.5
62.05,107.5
63.5,102.5
74.21,125
72.85,102.5
112.04,
112.04,
112.04,
64.95,112.5
64.95,
74.12,185
74.21,165
79.38,230
88.18,190
87.91,152.5
87.91,152.5
85,
98.25,195
97.61,170
99.97,160
99.97,160
107.86,225
108.95,237.5
109.86,455
108.86,365
104.05,
108.95,
106.14,
119.11,205
117.93,255
123.38,
132.72,
50.8,100
50.44,105
55.34,97.5
55.34,97.5
59.69,60
59.87,110
59.96,120
56.06,112.5
59.96,200
64.68,142.5
65.41,95
72.57,110
74.57,102.5
72.57,110
81.28,127.5
82.1,160
79.38,137.5
85.28,130
88.36,102.5
85.28,130
85.28,130
128,95
74.84,172.5
82.1,182.5
82.37,227.5
82.1,355
82.28,
82.28,
89.9,180
84.82,170
87.09,152.5
89.9,195
86.27,195
86.82,187.5
88.09,340
89.63,330
98.16,195
102.87,272.5
108.68,205
107.32,155
105.51,257.5
108.14,272.5
107.86,265
108.86,
113.94,227.5
117.12,217.5
117.12,217.5
116.12,297.5
124.19,292.5
136.44,340
61.33,112.5
74.75,165
82.1,185
89.36,210
86.45,152.5
89.54,245
129.73,245
54.43,
97.98,137.5
98.52,227.5
100.06,140
100.06,
95.07,195
104.6,
123.56,245
134.54,235
132.99,
142.25,
90,
47.26,67.5
51.26,95
56,75
53.89,75
66.68,87.5
63.96,80
73.94,105
77.29,97.5
87.32,40
96.8,75
101.02,112.5
123.47,
34.56,
53.61,
73.94,
89.99,
89.99,
89.99,
34.56,
39.92,
53.61,
55.7,
64.86,
61.87,
72.94,
74.3,
73.94,
83.19,
88.36,
32.11,20
34.56,60
39.92,67.5
42.46,80
44,32.5
38.28,77.5
47.54,85
45.27,37.5
45.27,37.5
45,32.5
49.08,65
49.08,65
53.98,80
57.88,103.5
57.52,135
64.41,77.5
72.3,147.5
73,145
74.57,100
86.09,65
89.99,125
34.56,
39.92,
53.61,
59.69,
59.69,
63.05,
64.32,
72.3,
72.3,
72.3,
73.94,
79.83,
83.1,
95.35,
67.13,
66.59,
66.59,
66.59,
66.59,
66.59,
66.59,
74.57,
75.02,
74.93,
74.93,
74.93,
74.93,
73.21,
75.02,
75.02,
74.3,
80.2,
82.19,
82.19,
80.01,
80.01,
80.74,
80.74,
82.01,
87.82,
82.46,
84.1,
88,
88,
88,
97.16,
97.16,
97.16,
97.16,
99.61,
107.5,
107.5,
104.69,
104.69,
105.41,
105.41,
122.92,
122.92,
121.2,
125,
125,
125,
121.47,
122.47,
122.47,
112.94,
135.9,
173.82,
140.98,
140.98,
82.19,
82.19,
65.41,
73.21,
72.39,
78.83,
78.83,
89.09,
86.64,
88.45,
88.99,
97.16,
97.16,
97.16,
97.16,
94.8,
94.8,
100.02,
100.97,
112.94,
179.99,
179.99,
179.99,
179.99,
157.4,
82.19,
82.19,
26.13,40
67.13,205
66.68,87.5
67.13,170
67.13,170
66.68,110
66.68,110
66.68,137.5
66.68,137.5
74.93,60
74.93,60
