weightclass_kg,squat_kg
60,20.41
60,95.25
60,95.25
60,95.25
67.5,31.75
67.5,77.11
67.5,95.25
67.5,95.25
67.5,54.43
67.5,
67.5,65.77
75,43.09
75,43.09
75,74.84
75,49.9
82.5,161.03
82.5,68.04
82.5,52.16
90,77.11
90,38.56
90,122.47
90,165.56
90+,47.63
75,115.67
75,111.13
75,
75,115.67
75,99.79
82.5,127.01
82.5,120.2
82.5,124.74
82.5,131.54
82.5,174.63
82.5,154.22
82.5,154.22
90,115.67
90,192.78
90,142.88
90,
90,165.56
90,176.9
90,
90,106.59
90,197.31
90,217.72
100,147.42
100,176.9
100,129.27
100,147.42
100,185.97
100,163.29
100,172.37
100,149.69
110,288.03
110,206.38
110,206.38
110,104.33
110,158.76
110,158.76
110,
125,149.69
125,124.74
125,181.44
125,181.44
125,149.69
125,195.04
125,195.04
125,158.76
125,
125,210.92
125,158.76
125,195.04
125,
140,199.58
140,183.7
140,206.38
140,206.38
140+,204.12
140+,136.08
52,37.5
52,40
52,40
67.5,62.5
75,62.5
75,57.5
75,55
75,117.5
82.5,75
56,80
60,82.5
67.5,87.5
75,157.5
75,117.5
75,82.5
82.5,112.5
82.5,75
82.5,110
90,205
90,205
90,132.5
90,140
90,107.5
90,137.5
90,152.5
90,95
90,
90,
90,
100,130
100,137.5
100,137.5
100,102.5
100,132.5
100,150
100,122.5
100,
100,
100,132.5
110,190
110,140
110,190
110,120
110,182.5
110,135
110,137.5
110,125
125,172.5
125,125
125,102.5
125,117.5
125,257.5
125,257.5
125,
140,175
140,
140,150
140,150
140+,250
140+,250
67.5,170.1
67.5,161.03
82.5,149.69
75,54.43
90,43.09
52,43.09
90,68.04
60,47.63
67.5,95.25
67.5,95.25
82.5,68.04
60,74.84
75,54.43
60,92.99
60,92.99
60,65.77
67.5,90.72
90,115.67
75,97.52
75,136.08
82.5,149.69
75,111.13
75,127.01
82.5,115.67
67.5,161.03
67.5,161.03
82.5,120.2
82.5,124.74
82.5,158.76
82.5,149.69
67.5,170.1
67.5,170.1
82.5,149.69
75,54.43
100,106.59
90,97.52
90,
90,149.69
100,127.01
90,188.24
90,192.78
100,165.56
100,165.56
100,195.04
90,158.76
100,163.29
100,163.29
140,147.42
140,260.82
100,199.58
90,174.63
140,
140,208.65
125,138.35
110,154.22
125,151.95
110,167.83
140,215.46
140,204.12
140+,183.7
125,192.78
110,176.9
125,151.95
125,197.31
125,199.58
125,199.58
125,176.9
110,188.24
110,
125,
110,283.5
140+,238.14
110,
90,136.08
110,229.06
100,174.63
140,208.65
125,222.26
125,222.26
90,136.08
100,174.63
110,229.06
140,208.65
140,
90,
125,
110,
90,149.69
90,188.24
140,204.12
140,260.82
140,208.65
82.5,70.31
82.5,70.31
60,81.65
60,81.65
60,92.99
60,92.99
67.5,95.25
67.5,95.25
100,104.33
82.5,136.08
82.5,142.88
82.5,151.95
82.5,151.95
67.5,165.56
67.5,165.56
100,170.1
100,170.1
90,183.7
82.5,183.7
110,185.97
110,183.7
100,190.51
100,190.51
125,204.12
52,40.82
56,79.38
60,65.77
75,49.9
75,63.5
75,61.23
56,79.38
75,49.9
90,61.23
56,79.38
75,117.93
67.5,95.25
90,108.86
110,174.63
82.5,129.27
100,165.56
140,149.69
82.5,129.27
75,104.33
75,120.2
82.5,147.42
110,154.22
125,185.97
140+,172.37
110,151.95
100,174.63
82.5,147.42
100,165.56
110,165.56
110,151.95
125,158.76
90,188.24
110,188.24
90,206.38
100,208.65
100,199.58
110,188.24
75,145.15
100,199.58
125,213.19
140,256.28
100,145.15
110,199.58
75,145.15
110,167.83
110,199.58
125,
52,45
60,52.5
60,62.5
60,102.5
60,102.5
67.5,62.5
67.5,70
67.5,102.5
67.5,95
67.5,60
67.5,102.5
75,57.5
75,95
75,65
75,57.5
75,50
75,75
75,75
75,75
75,82.5
82.5,172.5
82.5,172.5
90,50
90,70
90,127.5
90,
90,45
90+,60
90+,60
90+,
56,130
67.5,77.5
67.5,110
75,125
75,137.5
75,112.5
75,130
75,127.5
75,
75,142.5
75,132.5
75,
75,137.5
82.5,112.5
82.5,165
82.5,152.5
82.5,175
82.5,105
82.5,202.5
82.5,155
90,157.5
90,137.5
90,160
90,157.5
90,165
90,130
90,125
90,160
90,157.5
90,130
90,135
90,150
90,125
90,192.5
90,135
90,160
90,205
90,185
90,137.5
90,137.5
90,137.5
90,205
90,195
100,117.5
100,140
100,150
100,170
100,170
100,215
100,200
100,170
100,170
100,107.5
100,107.5
100,160
100,172.5
100,175
100,235
100,185
100,172.5
100,172.5
100,185
100,175
100,177.5
100,185
100,165
110,137.5
110,127.5
110,157.5
110,170
110,215
110,202.5
110,180
110,165
110,162.5
110,320
110,170
110,
110,172.5
110,215
125,155
125,130
125,185
125,210
125,170
125,172.5
125,197.5
125,172.5
125,200
125,295
125,
125,192.5
125,200
125,130
140,195
140,160
140+,147.5
140+,347.5
140+,
56,70.31
60,58.97
60,52.16
67.5,63.5
67.5,111.13
67.5,65.77
67.5,63.5
75,70.31
82.5,77.11
90,63.5
90+,97.52
67.5,99.79
75,117.93
75,131.54
82.5,120.2
82.5,149.69
82.5,149.69
82.5,138.35
90,142.88
90,127.01
90,208.65
90,192.78
90,
100,136.08
100,127.01
100,142.88
100,136.08
110,111.13
110,145.15
110,206.38
110,154.22
110,192.78
110,206.38
110,197.31
125,197.31
125,61.23
125,297.1
125,165.56
125,240.4
125,215.46
140+,283.5
56,45
60,60
67.5,52.5
67.5,60
67.5,
75,60
75,60
82.5,42.5
82.5,70
90,57.5
90,52.5
90+,60
90+,60
90+,
56,67.5
75,165
75,120
75,110
82.5,117.5
82.5,110
82.5,137.5
82.5,127.5
90,154.75
90,137.5
82.5,110
90,140
90,137.5
90,140
90,102.5
90,112.5
90,135
100,122.5
100,190
100,160
100,155
100,117.5
100,152.5
100,185
100,155
100,160
100,295
100,275
110,155
110,147.5
110,147.5
110,165
110,150
110,
110,202.5
110,192.5
110,
110,157.5
110,275
110,
125,195
125,210
125,155
125,155
140+,20
140,227.5
140,205
140+,230
140+,
140+,185
67.5,67.5
67.5,55
67.5,60
75,92.5
75,57.5
90+,
90+,
90+,
67.5,
67.5,
75,117.5
75,120
82.5,175
90,120
90,70
90,70
90,185
100,155
100,122.5
100,122.5
100,122.5
110,180
110,165
110,297.5
110,227.5
110,132.5
110,207.5
110,
125,155
125,165
125,175
140,
52,50
52,57.5
56,60
56,60
60,37.5
60,62.5
67.5,70
60,70
60,110
67.5,75
67.5,62.5
75,85
75,67.5
75,85
82.5,92.5
82.5,70
82.5,82.5
90,72.5
90,65
90,72.5
90,72.5
90+,72.5
75,132.5
82.5,125
82.5,155
82.5,170
82.5,187.5
82.5,187.5
90,115
90,120
90,122.5
90,150
90,120
90,147.5
90,190
90,170
100,130
110,152.5
110,160
110,125
110,147.5
110,190
110,175
110,
125,155
125,137.5
125,137.5
125,170
125,302.5
140,250
67.5,70
75,92.5
82.5,105
90,150
90,97.5
90,150
140,155
56,67.5
100,82.5
100,85
100,115
100,
100,132.5
110,155
125,192.5
140,50
140,195
140+,200
90,
48,37.5
52,37.5
56,27.5
56,35
67.5,50
67.5,37.5
75,45
82.5,72.5
90,32.5
100,62.5
110,42.5
125,120
35,30
56,45
75,47.5
90,87.5
90,87.5
90,122.5
35,
40,
56,
56,
67.5,
67.5,
75,
75,
75,
90,
90,
35,15.5
35,30
40,27.5
44,35
44,17.5
44,40
48,58.5
48,32.5
48,32.5
48,30
52,37.5
52,37.5
56,40
60,67.5
60,66.5
67.5,45
75,67.5
75,80
75,55
90,57.5
90,87.5
35,30
40,27.5
56,45
60,65.5
60,65.5
67.5,40
67.5,60
75,42.5
75,42.5
75,42.5
75,47.5
82.5,57.5
90,65
100,52.5
67.5,160
67.5,145
67.5,145
67.5,145
67.5,142.5
67.5,142.5
67.5,142.5
75,75
75,152.5
75,130
75,130
75,130
75,130
75,100
75,
75,
75,90
82.5,110
82.5,142.5
82.5,142.5
82.5,132.5
82.5,132.5
82.5,155
82.5,155
82.5,190
90,155
90,200
90,120
90,
90,
90,145
100,115
100,115
100,115
100,115
100,125
110,145
110,145
110,145
110,145
110,112.5
110,112.5
125,125
125,125
125,120
125,122.5
125,122.5
125,122.5
125,150
125,220
125,220
125,
140,180
140,210
140,200
140,200
82.5,82.5
82.5,82.5
67.5,
75,
75,
82.5,
82.5,
90,
90,
90,
90,
100,
100,
100,
100,
100,
100,
100,
110,
125,
140,
140,
140,
140,
140,
82.5,
82.5,
35,20
67.5,160
67.5,55
67.5,107.5
67.5,107.5
67.5,97.5
67.5,97.5
67.5,115
67.5,115
75,130
75,130
75,130
75,130
75,132.5
75,132.5
75,82.5
82.5,110
82.5,82.5
82.5,77.5
90,140
90,140
90,90
90,125
90,147.5
90,145
90,127.5
90,130
100,122.5
100,122.5
100,60
100,170
100,152.5
100,152.5
100,
100,122.5
100,152.5
100,150
100,150
100,150
110,185
110,185
110,155
110,115
110,75
110,115
110,115
110,115
110,115
125,165
125,
140,130
82.5,82.5
82.5,82.5
75,152.5
75,100
75,112.5
82.5,75
82.5,150
82.5,150
82.5,91
82.5,
82.5,
90,155
90,157.5
100,115
100,115
100,115
100,115
100,152.5
100,122.5
100,122.5
140,190
140,190
82.5,82.5
82.5,82.5
100,122.5
67.5,
60,67.5
67.5,50
90,75
82.5,47.5
125,170
125,170
30,
35,
90,
35,30
82.5,135
82.5,105
82.5,87.5
82.5,67.5
82.5,55
100,155
110,165
110,105
90,52.5
110,80
48,
60,
60,
67.5,
90,
82.5,
90,
110,
110,
48,40
60,40
60,40
67.5,35
67.5,37.5
82.5,50
67.5,65
75,95
75,92.5
75,95
82.5,77.5
90,57.5
100,155
100,145
110,135
125,127.5
140,125
56,57.5
82.5,117.5
82.5,117.5
110,105
