bodyweight_kg,bench_kg
77.2,175.0
59.8,77.5
73.2,162.5
90.0,187.5
56.25,95.0
123.45,315.0
186.6,155.0
62.05,122.47
80.74,235.87
80.5,100.0
76.48,147.42
86.9,185.0
119.5,215.0
74.98,163.29
67.45,210.0
72.57,150.0
60.1,122.5
88.27,154.22
66.9,180.0
136.08,240.4
66.0,137.5
94.35,125.0
82.1,125.0
89.95,192.78
131.3,325.0
114.25,285.0
125.1,182.5
91.6,297.5
55.3,122.5
81.6,177.5
87.6,140.0
106.5,290.0
109.4,310.0
180.53,225.0
51.7,75.0
125.9,400.0
117.7,227.5
72.76,167.83
68.76,138.35
43.6,110.0
116.2,210.0
92.44,181.44
67.22,102.06
82.5,175.0
99.1,237.5
61.9,82.5
96.89,251.74
73.48,161.03
70.7,165.0
74.03,156.49
