weightclass_kg,squat_kg
75,120.2
100,102.06
82.5,155.0
93,117.5
140+,170.1
125,185.0
56,61.23
63,47.5
52,42.5
125+,54.43
84+,80.0
67.5,81.65
90,90.72
125,151.95
110,192.78
66,125.0
110,152.5
110,92.99
56,105.0
60,92.5
74,110.0
140,170.1
140+,207.5
100,115.0
105,107.5
100,122.47
82.5,122.5
120,162.5
57,60.0
67.5,79.38
82.5,55.0
82.5,133.81
75,125.0
72,47.5
93,107.5
100,162.5
105,175.0
56,55.0
93,230.0
74,125.0
125,111.13
125,197.5
82.5,83.91
125+,208.65
75,135.0
75,125.0
82.5,87.5
67.5,97.5
72,57.5
52,27.5
