deadlift_kg,total_kg,
247.5,685,0.361313869
325,780,0.416666667
165.56,392.36,0.421959425
182.5,570,0.320175439
200,455,0.43956044
130,322.5,0.403100775
136.08,344.73,0.394743712
240,582.5,0.412017167
163.29,444.52,0.367340052
240,590,0.406779661
197.31,476.27,0.414281815
113.4,181.44,0.625
250,685,0.364963504
125,267.5,0.46728972
106.59,238.14,0.447593852
145,337.5,0.42962963
120,265,0.452830189
250,630,0.396825397
227.5,537.5,0.423255814
210,525,0.4
192.78,485.34,0.397206082
256.28,789.25,0.324713335
265,702.5,0.377224199
252.5,685,0.368613139
170,377.5,0.450331126
297.5,712.5,0.41754386
215,557.5,0.385650224
127.01,258.55,0.491239605
187.5,477.5,0.392670157
265,672.5,0.394052045
265,755,0.350993377
240,610,0.393442623
112.5,242.5,0.463917526
195.04,508.02,0.383921893
120,260,0.461538462
237.5,525,0.452380952
120,273,0.43956044
102.06,158.76,0.642857143
100,342.5,0.291970803
205,520,0.394230769
182.5,472.5,0.386243386
232.5,577.5,0.402597403
142.88,335.66,0.425668832
240.4,653.67,0.36776967
210.92,326.59,0.645825041
213.19,580.6,0.367189115
242.5,565,0.42920354
217.72,408.23,0.533326801
227.5,425,0.535294118
280,710,0.394366197
